timestamp,id_user,user,text,loc,food_tag,type_tag
2020-10-02 14:02:01,1312030076356059136,김인형♡ 📌​แจกสติกเกอร์​พี่ชานยอลในหมุด,กิ้ดดดดด แป้งทันนนน #HappyGiveawayInChanyeolDayEP3 https://t.co/IuuAjuxEIE,เช็ครายการสั่ง / สถานะสินค้า👇,ZEN,jp
2020-10-02 14:01:53,1312030042063421440,น้องพกหมดแลง🥕🐰,มื้อแรกของวันคือ zen ตอน 1 ทุ่มนี่แหระค่ะ 555555 ดิชั้นทำตัวแบบนี้อีกแร้วนะ,"Bangkok, Thailand",ZEN,jp
2020-10-02 13:59:53,1312029542261825536,🌸Zeennie🍀,"RT @SoupXLisa: ลิซ่าพร้อมสำหรับโซโล่แล้วนะครับวายจี ยังจะมีใครบอกว่าไม่พร้อมอีกไหม
LISA RAP #LISA @BLACKPINK 
https://t.co/xJhWVCtCo0",,ZEN,jp
2020-10-02 13:59:12,1312029370525990912,🌸Zeennie🍀,"RT @LoveLililily: LISA RAP 
Lisa fascinating

โห!! นี่ก็คนเยอะมาก
ของพ่อ 9 ตึกคนนั้นใช่มั้ย  ที่จีนเป็นวันหยุดด้วยไง  เป็นการโปรโมทที่สุดยอ…",,ZEN,jp
2020-10-02 13:58:44,1312029252137570306,🌸Zeennie🍀,"RT @LisaFamilyClub: ✨ ""ความสุขที่โอบล้อม​ไปด้วย LISA และกล่าวขอบคุนคุณพี่เก้าที่ทำงานอย่างหนัก"" ณ เมืองวิทยาศาสตร์​กว่างโจว
    给lisa应援 นี้…",,ZEN,jp
2020-10-02 13:57:01,1312028817590939648,(REST)`อยากลาออก³⁹ft.Yummy Summer,@miagebpisa นี่ไงไม้หน้าสาม https://t.co/4Oo0oiGCsu,24/7,ZEN,jp
2020-10-02 13:55:21,1312028397988528129,เมียเก็บของพิสา,@Kwang_Zen ไม้หน้าสามตีเลยหรอ5555555555,,ZEN,jp
2020-10-02 13:55:13,1312028367747645441,🌸Zeennie🍀,RT @ChachaLISABTS: พ่อ57 วันนี้ไปดูAdที่ตัวเองทำให้ลิซ่าที่เซี่ยงไฮ้ พร้อมฟิกเกอร์ลิซ่าด้วย #LISA https://t.co/6oovifaQyy,,ZEN,jp
2020-10-02 13:54:47,1312028258356011010,김인형♡ 📌​แจกสติกเกอร์​พี่ชานยอลในหมุด,"RT @lovewithBBH: ดาราเกาหลี1คน เค้าตอบเซฮุน ไม่แปลกใจเลย ความหล่อของเซฮุนถูกพูดถึงไปทั่ว ติ่งไม่ติ่ง คนเกายันคนไทย
https://t.co/tjRhOwoj0t",เช็ครายการสั่ง / สถานะสินค้า👇,ZEN,jp
2020-10-02 13:54:39,1312028225271336961,김인형♡ 📌​แจกสติกเกอร์​พี่ชานยอลในหมุด,ตุ่นเต้นๆๆๆๆๆๆ,เช็ครายการสั่ง / สถานะสินค้า👇,ZEN,jp
